pays;Lat;Long
Afghanistan;33.930445;67.6789455
Afrique du Sud;-28.48322;24.676997
Albanie;41.156986;20.18122199999999
Algérie;28.0268755;1.6528399999999976
Allemagne;51.1657065;10.452764000000002
Angola;-11.209451000000001;17.88066900000001
Antigua-et-Barbuda;17.363183;-61.789423
Arabie saoudite;23.8862915;45.08113850000001
Argentine;-38.4212955;-63.587402499999996
Arménie;40.066181;45.11110752258
Australie;-26.853387500000004;133.27515449999999
Autriche;47.6975425;13.34931899999998
Azerbaïdjan;40.147396263427495;47.57209799999998
Bahamas;24.885993;-76.7098925
Bangladesh;23.687639500000003;90.351002
Barbade;13.183550499999999;-59.534649
Belgique;50.499527;4.475402500000001
Belize;17.1929285;-88.5009
Bolivie (État plurinational de);-16.28835;-63.549429
Bosnie-Herzégovine;43.8926525;17.67058399999999
Botswana;-22.344029499999998;24.680158000000006
Brésil;-14.242914500000001;-53.1892665
Bulgarie;42.729862;25.491666500000008
BurkinaFaso;12.2418505;-1.5567604999999958
Bélarus;53.0282000;27.3137000
Bénin;9.3220475;2.313137999999981
Cabo Verde;16.0026;-24.014094999999998
Cambodge;12.54775;104.98385999999999
Cameroun;7.365302;12.343439499999988
Canada;62.393303;-96.8181455
Chili;-36.7119505;-73.601704
Chine - RAS de Hong-Kong;22.356514;114.13625300000001
Chine - RAS de Macao;22.1276;113.546
Chypre;35.1674058361455;33.43549949999999
Colombie;4.577316499999999;-74.29897299999999
Congo;-0.6620704999999996;14.927423999999974
Costa Rica;9.624897;-84.2533075
Croatie;44.48732;16.460305500000004
Cuba;21.5270625;-79.5446015
Côte d'Ivoire;7.5468545;-5.547099500000002
Danemark;56.15540300000001;11.617222500000025
Djibouti;11.808375;42.59522249999998
Dominique;15.4167495;-61.36412999999999
El Salvador;13.6929403;-89.2181911
Espagne;39.896026500000005;-2.487694499999975
Estonie;58.5962085;25.023777999999993
Eswatini;-26.326;31.1421
Fidji;-16.5780405;179.35244799999998
Finlande;64.9524155;26.068943999999988
France;46.232192999999995;2.209666999999996
Fédération de Russie;61.5231115;105.10000000000002 
Gabon;-0.8280970000000001;11.598908999999992
Gambie;13.445411499999999;-15.311436000000015
Ghana;7.955012;-1.0318194999999832
Grenade;12.1525884640855;-61.68955685054
Grèce;38.2752831620555;23.810343366924002
Guatemala;15.776261;-90.229744
Guinée;9.934886500000001;-11.283844999999985
Guinée-Bissau;11.802527000000001;-15.177028500000006
Guyana;4.8663235;-58.9325065
Géorgie;42.319846999999996;43.36805500000003
Haïti;19.054426;-73.04597100000001
Honduras;14.746333499999999;-86.2530975
Hongrie;47.164638499999995;19.508944499999984
Inde;21.125681;82.79499799999996
